row,clean,chaff,gaussian_white_noise,point_target,noise_suppression,am_noise_horizontal,smart_suppression,am_noise_vertical,mean
source_clean_test,0.5350,-,-,-,-,-,-,-,0.5350
direct_test,0.5350,0.4629,0.5410,0.5321,0.2471,0.1830,0.1834,0.2205,0.3631
E0111_self_training_plus_cga,0.5350,0.0969,0.1061,0.1011,0.0934,0.0561,0.0751,0.0995,0.1454
E0112_self_training_plus_cga,0.5350,0.1752,0.2146,0.2226,0.0835,0.0447,0.0651,0.1320,0.1841
E0112_plus_E0113_heavy_lora,0.5350,0.1752,0.2146,0.2226,0.1082,0.0790,0.0860,0.1321,0.1941
E0117_direct_plus_adapt_ensemble,0.5350,0.4348,0.5181,0.5094,0.2145,0.1454,0.1652,0.1968,0.3399
E0118_TENT_short_2ep500,0.5350,0.4621,0.5204,0.5023,0.2137,0.1779,0.2072,0.2220,0.3551
E0120_TENT_plus_direct_ensemble,0.5350,0.4663,0.5346,0.5241,0.2304,0.1800,0.2054,0.2209,0.3621
E0121_TENT_long_5ep1000,0.5350,0.4141,0.4553,0.4227,0.1559,0.1330,0.1506,0.2096,0.3095
E0122_TENT_plus_CGA_stacking,0.5350,0.3269,0.3511,0.3554,0.1074,0.1422,0.0865,0.2150,0.2649
